37,30,30,36,37,36,20,37,30,20,36,30,37,20,36,20
16,9,9,13,16,40,16,40,16,40,9,13,13,13,9,40
42,36,36,33,36,42,37,33,33,37,37,37,36,42,42,33
37,31,31,37,31,31,1,37,1,25,1,25,25,25,1,37
14,4,4,4,1,13,13,1,4,1,13,14,14,14,13,1
45,42,45,23,45,23,23,20,20,45,42,20,42,23,20,42
42,50,42,42,40,39,39,40,50,50,39,40,39,50,40,42
23,29,20,29,35,35,29,20,20,35,23,23,29,23,35,20
37,37,37,1,4,37,15,1,4,1,4,15,1,15,4,15
42,33,33,29,33,42,29,11,11,11,29,42,29,33,42,11
16,1,37,30,37,30,1,1,37,16,30,37,30,16,1,16
4,40,31,40,36,31,31,4,4,40,36,40,36,36,4,31
33,29,20,29,33,29,6,33,6,33,20,20,29,20,6,6
33,30,1,1,29,1,29,1,29,30,29,30,33,30,33,33
20,40,20,30,23,23,30,40,23,20,23,30,20,40,40,30
40,37,40,23,40,36,23,37,37,23,37,40,36,36,23,36
14,14,33,33,31,11,11,33,11,11,33,31,14,31,31,14
37,42,4,37,42,1,42,4,1,37,4,37,1,1,42,4
35,4,35,4,37,4,4,35,35,42,37,37,42,42,42,37
21,4,4,4,23,37,21,21,21,4,23,37,37,37,23,23
25,39,36,45,25,39,36,45,25,39,25,36,36,45,39,45
30,1,33,33,9,9,1,1,1,30,9,9,33,30,30,33
13,20,20,4,13,20,6,4,13,6,6,4,13,20,4,6
23,31,31,31,50,50,42,31,42,42,42,50,23,50,23,23
22,15,9,22,9,22,16,15,22,9,15,16,15,16,9,16
37,29,25,29,42,25,25,37,37,42,29,42,25,37,29,42
9,11,11,11,30,9,14,11,9,30,30,14,30,14,9,14
37,29,23,29,40,40,40,37,23,23,37,37,23,29,40,29
23,31,42,23,1,23,42,31,1,31,42,23,31,1,1,42
30,39,45,39,45,45,30,20,30,20,39,20,45,30,20,39
33,9,33,42,20,33,9,20,9,33,42,42,20,20,9,42
23,23,42,23,36,42,42,42,16,36,16,16,36,16,23,36
30,33,37,30,37,33,1,30,30,37,37,1,1,33,1,33
50,40,4,40,50,1,50,4,4,50,1,4,1,40,40,1
15,15,21,13,35,15,21,15,13,35,35,13,13,35,21,21
31,31,22,31,22,22,6,6,37,6,31,37,37,6,37,22
1,1,1,36,36,29,4,4,29,29,1,29,36,4,36,4
13,31,13,33,31,4,31,4,13,31,33,33,13,4,4,33
23,4,1,23,4,20,4,20,1,1,4,23,20,20,23,1
23,37,23,23,33,29,33,37,23,29,33,37,29,37,33,29
22,50,15,22,37,37,50,15,50,22,15,50,37,22,15,37
40,37,40,37,30,30,45,45,45,30,30,40,45,40,37,37
29,21,21,33,21,29,33,29,9,33,9,9,21,29,9,33
35,35,11,30,35,20,11,20,30,30,20,11,11,30,20,35
23,36,36,39,9,23,39,23,36,39,9,9,23,9,39,36
6,6,6,20,14,20,14,25,6,25,14,25,20,20,14,25
29,30,40,40,29,40,30,30,36,36,36,30,29,36,29,40
16,16,42,31,42,20,16,20,42,20,16,20,31,31,31,42
29,4,9,4,29,29,9,37,37,9,37,37,4,9,4,29
20,16,13,13,13,13,20,25,25,16,16,25,20,20,16,25
4,20,4,4,35,6,20,6,6,20,35,35,4,20,6,35
1,1,1,42,42,37,42,29,29,42,37,29,37,37,1,29
9,40,33,33,9,40,20,40,33,40,9,33,20,20,20,9
20,4,20,1,20,4,1,1,36,20,4,36,36,4,1,36
31,50,21,31,37,50,21,31,37,50,21,37,37,31,50,21
42,33,29,42,29,33,33,29,42,4,4,29,42,33,4,4
22,22,30,33,22,4,4,30,30,22,4,4,33,30,33,33
42,9,9,40,23,40,42,9,23,23,40,40,42,42,23,9
29,20,1,1,1,30,1,20,29,20,29,30,30,29,20,30
30,31,31,39,45,39,39,30,31,45,39,30,45,45,31,30
22,40,22,30,33,33,33,30,22,40,40,22,30,30,40,33
14,25,42,45,25,14,42,42,25,45,25,45,42,45,14,14
29,29,4,4,23,23,23,29,4,20,20,4,29,23,20,20
23,36,23,15,31,31,36,36,31,15,23,36,23,31,15,15
20,9,39,35,20,20,35,39,20,9,39,39,9,35,9,35
36,37,36,20,1,1,20,37,20,37,1,37,20,36,36,1
